iteration	epoch	batch	train_loss	train_time_per_img
10	1	10	0.6110	1.1556
20	1	20	0.5370	1.1473
30	1	30	0.4980	1.1439
40	1	40	0.4694	1.1432
50	1	50	0.4448	1.1405
60	2	10	0.4315	1.1507
70	2	20	0.4091	1.1451
80	2	30	0.3749	1.1418
90	2	40	0.3920	1.1446
100	2	50	0.3832	1.1385
110	3	10	0.3552	1.1496
120	3	20	0.3303	1.1469
130	3	30	0.3430	1.1429
140	3	40	0.3323	1.1413
150	3	50	0.3728	1.1418
160	4	10	0.3101	1.1497
170	4	20	0.3427	1.1476
180	4	30	0.3147	1.1423
190	4	40	0.3045	1.1411
200	4	50	0.3172	1.1390
210	5	10	0.3025	1.1517
220	5	20	0.3002	1.1471
230	5	30	0.2984	1.1438
240	5	40	0.3077	1.1437
250	5	50	0.2941	1.1416
260	6	10	0.2913	1.1523
270	6	20	0.2721	1.1445
280	6	30	0.2692	1.1423
290	6	40	0.2674	1.1444
300	6	50	0.2589	1.1391
310	7	10	0.2568	1.1507
320	7	20	0.2731	1.1472
330	7	30	0.2639	1.1427
340	7	40	0.2761	1.1427
350	7	50	0.2942	1.1411
360	8	10	0.2771	1.1493
370	8	20	0.2641	1.1462
380	8	30	0.2323	1.1434
390	8	40	0.2408	1.1427
400	8	50	0.2401	1.1419
410	9	10	0.2575	1.1528
420	9	20	0.2261	1.1494
430	9	30	0.2282	1.1459
440	9	40	0.2415	1.1462
450	9	50	0.2382	1.1449
460	10	10	0.2200	1.1526
470	10	20	0.2403	1.1483
480	10	30	0.2259	1.1457
490	10	40	0.2244	1.1448
500	10	50	0.2327	1.1433
510	11	10	0.2250	1.1505
520	11	20	0.2336	1.1454
530	11	30	0.2245	1.1436
540	11	40	0.2612	1.1423
550	11	50	0.2181	1.1415
560	12	10	0.2181	1.1521
570	12	20	0.2158	1.1464
580	12	30	0.2209	1.1449
590	12	40	0.2060	1.1432
600	12	50	0.2075	1.1421
610	13	10	0.1888	1.1513
620	13	20	0.2184	1.1439
630	13	30	0.2022	1.1450
640	13	40	0.1919	1.1438
650	13	50	0.1936	1.1402
660	14	10	0.1986	1.1506
670	14	20	0.2178	1.1450
680	14	30	0.2086	1.1425
690	14	40	0.2029	1.1431
700	14	50	0.2065	1.1435
710	15	10	0.2007	1.1481
720	15	20	0.1813	1.1464
730	15	30	0.1984	1.1426
740	15	40	0.2039	1.1435
750	15	50	0.2092	1.1430
760	16	10	0.1764	1.1503
770	16	20	0.1969	1.1466
780	16	30	0.1967	1.1440
790	16	40	0.1920	1.1429
800	16	50	0.1859	1.1413
810	17	10	0.1757	1.1526
820	17	20	0.1988	1.1459
830	17	30	0.1871	1.1443
840	17	40	0.1847	1.1416
850	17	50	0.1805	1.1431
860	18	10	0.1818	1.1503
870	18	20	0.1960	1.1436
880	18	30	0.1768	1.1403
890	18	40	0.1931	1.1439
900	18	50	0.1775	1.1396
910	19	10	0.1750	1.1521
920	19	20	0.1535	1.1468
930	19	30	0.1638	1.1426
940	19	40	0.1844	1.1415
950	19	50	0.1723	1.1395
960	20	10	0.1561	1.1514
970	20	20	0.1768	1.1455
980	20	30	0.1798	1.1389
990	20	40	0.1804	1.1432
1000	20	50	0.1626	1.1398
1010	21	10	0.1701	1.1489
1020	21	20	0.1781	1.1455
1030	21	30	0.1646	1.1447
1040	21	40	0.1635	1.1441
1050	21	50	0.1735	1.1396
1060	22	10	0.1654	1.1498
1070	22	20	0.1652	1.1466
1080	22	30	0.1802	1.1438
1090	22	40	0.1737	1.1412
1100	22	50	0.1726	1.1418
1110	23	10	0.1787	1.1491
1120	23	20	0.1551	1.1454
1130	23	30	0.1744	1.1437
1140	23	40	0.1806	1.1425
1150	23	50	0.1631	1.1419
1160	24	10	0.1572	1.1477
1170	24	20	0.1487	1.1451
1180	24	30	0.1592	1.1430
1190	24	40	0.1490	1.1431
1200	24	50	0.1647	1.1395
1210	25	10	0.1612	1.1518
1220	25	20	0.1683	1.1424
1230	25	30	0.1638	1.1431
1240	25	40	0.1657	1.1441
1250	25	50	0.1540	1.1408
1260	26	10	0.1442	1.1488
1270	26	20	0.1579	1.1434
1280	26	30	0.1372	1.1413
1290	26	40	0.1602	1.1447
1300	26	50	0.1597	1.1398
1310	27	10	0.1446	1.1498
1320	27	20	0.1435	1.1442
1330	27	30	0.1574	1.1435
1340	27	40	0.1479	1.1423
